LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI
2.0,0.7565732,7.0,3.837062836,-4.0,344.8906555,3.395021338,0.000478801,3062.816406,0.0,391.0161438,-2.008801518
2.0,0.75270772,4.0,0.0,2.0,0.0,11.51292546,0.000705226,3039.592285,0.0,0.0,-11.51292546
1.0,-0.091801666,0.0,0.0,0.0,0.0,3.99431871,0.000142804,3128.201416,1955.080688,0.0,-2.782094122
1.0,-0.022973996,0.0,0.0,0.0,0.0,14.07787482,0.000578148,3126.239014,1105.960693,552.9803467,-11.51292546
5.0,0.369133562,4.0,2.729371786,-2.0,312.775116,3.043188942,0.000680054,3133.710449,0.0,0.0,-3.043188942
1.0,0.000953918,5.0,2.95543313,1.0,340.159668,2.963500621,0.000306166,3374.905762,391.0161438,391.0161438,-2.963500621
5.0,0.729682088,13.0,4.416628838,-14.0,245.2179718,2.560737369,0.000604026,3511.682861,391.0161438,391.0161438,-2.560737369
5.0,0.511604786,7.0,2.107453346,-3.0,331.6186829,3.302023865,0.000803243,3176.465332,0.0,391.0161438,-3.302023865
2.0,0.424881876,11.0,2.204908371,-1.0,114.8624115,3.256787503,0.000397952,3201.1966549999997,1236.501587,552.9803467,-3.256787503
5.0,0.073878787,2.0,1.002013087,5.0,90.0,8.708981455,0.000493704,3177.709717,0.0,391.0161438,0.617330542
2.0,0.572062254,8.0,5.038102627,-2.0,156.6502991,2.428502017,0.000405686,3043.023438,1105.960693,391.0161438,-2.428502017
1.0,-0.029550739,5.0,0.927409947,-3.0,0.0,4.122881649,0.000329704,3302.447754,0.0,552.9803467,-4.122881649
5.0,0.61689806,7.0,2.0030725,-10.0,90.0,3.352851309,0.000572398,3070.120605,0.0,782.0322876,-3.352851309
5.0,0.563397169,13.0,0.0,2.0,0.0,11.51292546,0.00059172,3509.998535,391.0161438,391.0161438,-11.51292546
1.0,-0.121207848,3.0,2.108185291,7.0,208.4181366,3.301676393,0.00020741,3243.231689,1658.94104,391.0161438,-3.301676393
1.0,-0.052918885,9.0,2.210650921,-9.0,245.206604,3.254184548,0.000419108,3294.503174,0.0,0.0,-3.254184548
1.0,0.071902581,13.0,3.837758064,10.0,344.8521423,2.701692471,0.000637443,3508.206787,0.0,0.0,-2.701692471
1.0,-0.159586981,0.0,0.0,0.0,0.0,3.99431871,0.000369221,3126.239014,2764.901611,0.0,-2.782094122
1.0,-0.129362598,0.0,0.0,0.0,0.0,3.99431871,0.000221183,3126.239014,3053.933838,391.0161438,-2.782094122
1.0,-0.144815773,0.0,0.0,0.0,0.0,3.99431871,0.000436026,3126.239014,2764.901611,391.0161438,-2.782094122
5.0,0.37452215,0.0,0.0,0.0,0.0,3.99431871,0.0,3201.1966549999997,874.3386841,3987.5979,-2.782094122
2.0,0.501004636,7.0,2.731746912,0.0,47.27101135,3.735465155,0.000445465,3345.496338,0.0,1105.960693,-2.349275568
1.0,0.082167387,0.0,0.0,0.0,0.0,3.99431871,0.000168517,3201.1966549999997,391.0161438,782.0322876,-2.782094122
1.0,-0.171730801,4.0,1.003675342,-1.0,90.0,4.737032609,0.000223274,3243.219971,874.3386841,782.0322876,-3.351023526
2.0,0.716639161,12.0,3.704791784,-5.0,180.0,2.737050446,0.00063691,3042.756592,874.3386841,1105.960693,-2.737050446
11.0,0.291167796,3.0,2.209702253,8.0,294.8047791,3.947761271,0.000310445,3182.272461,391.0161438,874.3386841,-2.561596466
5.0,0.515478134,9.0,4.627367496,-16.0,0.0,4.593379308,0.000295329,3182.272461,0.0,552.9803467,-0.434604324
