LULC=1,LULC=2,LULC=4,LULC=5,LULC=7,LULC=8,LULC=11,LULC_missing,NDVI_missing,Elevation_missing,Slope_missing,Curvature_missing,Aspect_missing,TWI_missing,Drainage_Density_missing,Precipitation_missing,Distance_to_Road_missing,Distance_to_River_missing,SPI_missing,NDVI,Elevation,Slope,Curvature,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Aspect_sin,Aspect_cos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.20832117,10.0,2.7317145,-2.0,3.0423298,0.000400109,3201.1965,1236.5016,391.01614,-3.0423298,-0.734564,-0.67853945
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.25273824,3.0,1.3667777,-1.0,5.3446,0.000198884,3201.1965,4371.6934,0.0,-2.1260595,0.7346299,0.67846805
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.26439086,4.0,0.92740995,0.0,6.4254665,0.000222456,3201.1965,3540.8018,874.3387,-1.8208524,1.2246469e-16,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.21994406,3.0,2.7802885,5.0,5.8578944,0.000300646,3201.1965,391.01614,0.0,-0.19166149,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.20399162,6.0,2.2115703,-8.0,3.2537684,0.000771402,3296.085,391.01614,391.01614,-3.2537684,0.9079064,-0.41917288
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2842444,3.0,3.4273515,2.0,2.8150785,0.000361662,3201.1965,1236.5016,0.0,-2.8150785,-0.5852197,0.81087476
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.25357667,4.0,1.0041615,-8.0,6.6083508,0.000222456,3201.1965,3910.1614,391.01614,-1.4789785,-1.0,-1.8369701e-16
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.29049927,4.0,1.3667436,2.0,3.7351873,0.00017977,3201.1965,4025.7576,391.01614,-3.7351873,-0.7346142,0.67848504
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.23143204,2.0,1.3667139,11.0,3.735209,0.000191533,3201.1965,3363.648,391.01614,-3.735209,0.73460066,-0.6784997
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.25339913,6.0,0.0,0.0,11.512925,0.000412059,3201.1965,1955.0807,552.98035,-11.512925,0.0,1.0
