LULC=1,LULC=2,LULC=4,LULC=5,LULC=7,LULC=8,LULC=11,LULC_missing,NDVI_missing,Elevation_missing,Slope_missing,Curvature_missing,Aspect_missing,TWI_missing,Drainage_Density_missing,Precipitation_missing,Distance_to_Road_missing,Distance_to_River_missing,SPI_missing,NDVI,Elevation,Slope,Curvature,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Aspect_sin,Aspect_cos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2324638,-1.7374074,-0.21992719,0.16407272,0.44375315,-1.5227051,0.2003567,1.5346383,-1.0007093,0.71308935,-1.4499062,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.3714387,-1.1741668,-0.21969306,0.16407272,-0.30179402,-2.745551,0.2003567,5.4314795,2.0144033,-0.0045636767,-1.4499062,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.252852,-1.1741668,1.5568485,-0.9101777,-0.8762326,-1.8999897,0.2003567,2.0091257,-1.0007093,0.05473151,-0.30249944,-1.4608245
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2257688,-1.1741668,-0.6374008,0.01060837,0.67346776,-2.1344175,0.2003567,4.1838326,-0.04724688,0.6602858,1.0746967,-1.0470675
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.41098,-0.32930592,-0.637396,-1.6774994,0.47125345,-2.3226206,0.2003567,4.3400106,-0.04724688,0.4656003,-1.063694,-1.0470624
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.0038157,-0.6109262,-0.0869083,0.16407272,-0.594034,0.08794733,0.5572558,-0.21823898,-0.04724688,-0.21697372,-1.3158737,-0.6881201
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2846143,-1.1741668,-0.87382144,-0.14285597,-0.30181026,-1.7196891,0.2003567,0.9235639,-0.04724688,-0.49833137,-1.4499062,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.1467226,-2.0190277,-0.21987188,-0.29632032,0.49004593,-1.8040663,0.2003567,2.411077,0.9062155,0.75768995,-1.4499062,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2025008,-0.89254653,-0.63740176,-0.9101777,0.56048185,-2.1344175,0.2003567,4.1639543,0.9062155,0.55150324,1.0746956,0.8313683
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.199508,-0.6109262,-0.15420659,1.2383232,-0.16985938,-1.6692013,0.2003567,-0.6564583,-0.04724688,0.15726824,0.6982705,-1.3252956
