sample_id,POINT_X,POINT_Y,observed_class,split,model,predicted_probability,predicted_class
200,306050.0654,2471479.77,0,validation,Random Forest,0.5570681537677747,1
201,309654.5282,2454966.481,1,train,Random Forest,0.6190029105236652,1
202,301800.5306,2451417.575,0,train,Random Forest,0.38913829042335,0
203,292881.2268,2441145.958,0,test,Random Forest,0.23401070257453835,0
204,288478.2406,2489449.921,0,validation,Random Forest,0.7066380227120035,1
205,296726.9392,2449204.806,0,test,Random Forest,0.549867329211454,1
206,309908.6314,2475196.045,0,train,Random Forest,0.4336775014352908,0
207,312307.705,2468522.296,1,train,Random Forest,0.7010660523390666,1
208,295385.1098,2448324.125,0,test,Random Forest,0.7196273803351451,1
209,296913.4289,2447156.36,0,test,Random Forest,0.4722179019960255,0
210,308989.7535,2467289.242,1,train,Random Forest,0.8122341305749228,1
211,307534.4425,2469239.051,1,validation,Random Forest,0.6902901127655972,1
212,312338.51,2490180.171,0,train,Random Forest,0.4978309523307524,0
213,317158.893,2497737.796,0,train,Random Forest,0.31198490291105097,0
214,297675.4481,2475037.135,0,validation,Random Forest,0.4862712757466081,0
215,309690.4137,2463147.302,1,train,Random Forest,0.7788648618180399,1
216,293829.5529,2441087.743,1,train,Random Forest,0.6538853428317777,1
217,311777.3897,2461768.033,0,train,Random Forest,0.5729308285178388,1
218,300961.4803,2444352.824,1,train,Random Forest,0.6439906214159064,1
219,308530.0256,2489849.744,0,train,Random Forest,0.4553637580457642,0
220,308328.4058,2471692.859,0,validation,Random Forest,0.29136693021444193,0
221,303131.6774,2459234.255,1,train,Random Forest,0.8200174034720982,1
222,316955.2433,2496774.542,0,train,Random Forest,0.48680527550470004,0
223,309194.8682,2484459.919,0,test,Random Forest,0.6512608538486924,1
224,303826.7557,2486907.322,0,train,Random Forest,0.2330171888916215,0
225,307870.8813,2489873.977,1,train,Random Forest,0.6447312704478743,1
226,315376.1729,2496020.416,1,train,Random Forest,0.6716927766521879,1
227,312715.0972,2471834.121,1,train,Random Forest,0.590680138867877,1
228,312413.0431,2474023.124,0,train,Random Forest,0.2272914970762634,0
229,312932.7795,2470818.788,0,train,Random Forest,0.5866780678303042,1
230,290325.1324,2486040.971,1,train,Random Forest,0.7501886183302611,1
231,307797.9581,2492170.613,0,train,Random Forest,0.39769184622485765,0
232,307758.4524,2467075.187,0,validation,Random Forest,0.5138429268399662,1
233,311803.99,2498027.675,1,validation,Random Forest,0.3054406820264021,0
234,297443.9895,2440390.665,0,train,Random Forest,0.514981724614987,1
235,304792.3344,2487385.133,0,train,Random Forest,0.3200587302668527,0
236,303312.4835,2446889.25,0,train,Random Forest,0.2247100838245937,0
237,297494.2511,2482018.102,0,train,Random Forest,0.42961547320773247,0
238,295630.5125,2483384.303,1,train,Random Forest,0.8269291679417154,1
239,309917.289,2471365.932,0,train,Random Forest,0.5891435578349256,1
240,311047.8548,2455793.464,0,train,Random Forest,0.4332485466360862,0
241,309667.13,2463564.15,1,train,Random Forest,0.5417762131153029,1
242,300563.5173,2454035.165,0,train,Random Forest,0.24078571035384191,0
243,302848.6765,2458654.55,0,train,Random Forest,0.6271925258258895,1
244,303987.184,2455247.628,0,train,Random Forest,0.553538961844113,1
245,298332.3906,2481856.264,0,train,Random Forest,0.4211837493943576,0
246,310972.3335,2489742.278,0,train,Random Forest,0.3848846099030065,0
247,312808.166,2461620.179,1,train,Random Forest,0.7235465457109789,1
248,294028.8135,2481835.653,0,train,Random Forest,0.36020370263686885,0
249,306657.2007,2484634.026,1,train,Random Forest,0.6779815118759686,1
250,312621.5518,2469642.307,0,train,Random Forest,0.5446814318447935,1
251,304958.8868,2493365.607,0,train,Random Forest,0.29233788942727645,0
252,304934.6376,2495429.344,1,train,Random Forest,0.6635282031001051,1
253,303825.9502,2475055.21,0,train,Random Forest,0.323211818807076,0
254,311784.4322,2494454.185,0,train,Random Forest,0.45880379458069825,0
255,310347.181,2472100.674,1,train,Random Forest,0.5913386828782129,1
256,296842.9029,2439865.419,0,train,Random Forest,0.4882344225381728,0
257,308463.1554,2457503.762,0,test,Random Forest,0.6797174895839602,1
258,315899.159,2494665.514,0,train,Random Forest,0.4410358354648679,0
259,313105.1981,2468320.843,1,train,Random Forest,0.6633544473717968,1
260,318220.9881,2494826.017,0,train,Random Forest,0.363890619261799,0
261,298760.7465,2439620.12,0,train,Random Forest,0.44954806717564433,0
262,308095.4442,2454943.746,0,train,Random Forest,0.30637821291247647,0
263,311081.2102,2470430.321,0,train,Random Forest,0.4481055469134061,0
264,300281.9061,2453847.432,1,train,Random Forest,0.6949329901410065,1
265,304732.12,2447446.107,1,train,Random Forest,0.7551106153768399,1
266,294687.9764,2482239.98,1,train,Random Forest,0.7034514654725638,1
267,307172.7919,2467862.326,0,validation,Random Forest,0.36874459305440843,0
268,297171.3191,2480926.613,1,train,Random Forest,0.8289814534414353,1
269,304670.2948,2469558.944,0,validation,Random Forest,0.5971196549190615,1
270,293173.1723,2441185.563,0,test,Random Forest,0.2355866838917297,0
271,299041.3541,2474890.278,0,train,Random Forest,0.3242998673624365,0
272,302596.5783,2494446.179,0,train,Random Forest,0.42614201001445084,0
273,304607.8099,2465522.626,0,train,Random Forest,0.3216812982095455,0
274,301610.6222,2465103.993,0,train,Random Forest,0.4682416793207515,0
275,295247.5101,2482641.224,1,train,Random Forest,0.7974964236316148,1
276,305196.826,2448650.693,0,train,Random Forest,0.241739285320038,0
277,304054.4004,2459030.498,0,test,Random Forest,0.7014682472122319,1
278,304285.7912,2450463.905,1,train,Random Forest,0.7909019301992368,1
279,301629.6149,2453293.55,1,train,Random Forest,0.7365680036333576,1
280,302590.0599,2457147.794,0,train,Random Forest,0.25738670193875524,0
281,307877.1411,2491007.188,0,train,Random Forest,0.29398910369662173,0
282,298598.1779,2452077.995,0,train,Random Forest,0.4863236020532969,0
283,305323.3386,2496735.684,0,train,Random Forest,0.3142168905191002,0
284,310226.659,2456080.789,0,train,Random Forest,0.3252638011916402,0
285,309425.6502,2467296.171,1,train,Random Forest,0.7696554157924008,1
286,301278.6506,2491844.721,0,train,Random Forest,0.3780522012295238,0
287,309384.3143,2463275.457,0,train,Random Forest,0.2681486766646331,0
288,310885.7199,2460079.359,1,train,Random Forest,0.8325926843217059,1
289,297413.1582,2442438.083,0,test,Random Forest,0.7005060628777096,1
290,308021.1577,2458779.387,0,test,Random Forest,0.6181707100376894,1
291,293232.8783,2437939.984,0,test,Random Forest,0.5302703868263335,1
292,311488.5266,2461001.863,0,train,Random Forest,0.5782283404000398,1
293,309015.0467,2458023.631,0,train,Random Forest,0.3113172326404847,0
294,310709.4828,2452924.151,0,train,Random Forest,0.4301098910164493,0
295,311071.7929,2460532.959,0,train,Random Forest,0.45160483661834905,0
296,305108.3801,2464667.676,1,train,Random Forest,0.7537285080562047,1
297,313764.2687,2496905.934,1,train,Random Forest,0.6570964439281652,1
298,301003.1719,2457674.147,1,train,Random Forest,0.8391060716743807,1
299,296327.3785,2447030.878,0,test,Random Forest,0.2577426992073921,0
300,309201.5915,2454238.77,1,train,Random Forest,0.8283086799168241,1
301,303586.7892,2494477.842,0,train,Random Forest,0.2318028959106032,0
302,295674.0417,2482954.959,1,train,Random Forest,0.8675277035388401,1
303,302819.6437,2456258.575,1,train,Random Forest,0.8458341552566803,1
304,302113.0743,2467900.697,0,train,Random Forest,0.5128508195754062,1
305,301776.7623,2446258.675,0,train,Random Forest,0.22631888329506847,0
306,309279.1705,2495363.742,1,train,Random Forest,0.6431475382335765,1
307,308665.573,2458944.627,0,train,Random Forest,0.6134690903099947,1
308,301741.9992,2450273.398,0,train,Random Forest,0.2421477350977348,0
309,304303.9293,2460867.914,0,test,Random Forest,0.3277525300311373,0
310,311995.1717,2461257.527,0,train,Random Forest,0.5017367878900665,0
311,304454.4049,2470026.311,0,validation,Random Forest,0.3101308215062991,0
312,296048.0206,2484862.925,0,train,Random Forest,0.3752765029813027,0
313,304068.9822,2497330.459,0,train,Random Forest,0.38329589252130875,0
314,307545.4952,2485738.75,0,train,Random Forest,0.3569835875286556,0
315,295789.0859,2464033.921,0,train,Random Forest,0.28875601708991167,0
316,308105.1712,2484727.059,0,train,Random Forest,0.458530194752386,0
317,311191.665,2492849.024,1,train,Random Forest,0.6726922319468839,1
318,315832.7944,2496480.722,0,train,Random Forest,0.32246370695492854,0
