LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI
-1.4469265,-3.5177794,-1.1741667,-0.31970045,-0.14285597,0.24833664,-0.52881336,-2.6451502,0.20035698,5.0572224,1.1312973,-0.27976912
-1.4469265,-3.214776,-1.1741667,0.3978519,-0.44978467,1.7171979,-0.70143527,-2.062044,0.20035698,2.5338266,-0.047246892,-0.113566026
-1.4469265,-3.070269,0.5155552,0.25202486,-0.29632032,0.6818745,-0.6722609,-1.4152033,0.20035698,0.72931284,-0.047246892,-0.14165555
-1.4469265,-3.2569263,-1.4557871,-0.6374057,-0.14285597,-0.96893495,0.17954129,-2.229847,0.20035698,4.2429824,-1.0007092,0.18474373
-1.4469265,-3.305895,-1.1741667,-0.92370987,0.0106083695,0.24833664,0.5794441,-2.1344175,0.20035698,3.3117864,1.1312973,0.2934665
-1.4469265,-3.119113,-1.4557871,0.28367698,0.7779301,-1.4025239,0.36945167,-1.8178715,0.20035698,-0.218239,-1.0007092,0.8738266
-1.4469265,-3.0520747,-0.6109261,-0.0869155,-1.2171063,-0.34980333,-0.5940321,0.08794737,0.55646306,-0.218239,-0.047246892,-0.21697547
-1.4469265,-3.389327,-1.4557871,0.70532113,0.31753707,1.5706896,-0.7563402,-1.570853,0.20035698,0.72931284,-1.0007092,-0.060702685
-1.4469265,-3.2604496,-1.1741667,-0.87369645,-1.2171063,1.073767,0.6471082,-2.1344175,0.20035698,3.7257347,-0.047246892,0.41525084
-1.4469265,-3.4156125,-1.1741667,-0.6374279,0.31753707,1.4656204,-0.41591507,-2.3072286,0.20035698,3.8552856,-0.047246892,-0.38846937
-1.4469265,-3.1673896,-1.7374073,-0.63744724,1.6987162,-0.18522963,-0.41590703,-2.2596068,0.20035698,3.1132467,-0.047246892,-0.3884771
-1.4469265,-3.2597036,-0.6109261,-1.5280358,0.0106083695,-1.4025239,2.4617202,-1.3668246,0.20035698,1.5346383,0.34769017,-3.159102
-1.4469265,-3.3090878,-1.4557871,0.28367698,0.0106083695,0.24833664,-0.6787907,-2.265813,0.20035698,3.6595016,0.34769017,-0.13536859
0.42040575,-1.1625999,-0.6109261,0.5198802,-1.5240351,0.9165049,-0.7242041,-1.0974953,0.015227637,-0.6564583,1.8596779,-0.0916438
0.42040575,-0.5597771,-1.7374073,-0.638864,-0.603249,0.68112874,1.3590456,0.47813022,-0.3971467,-0.6564583,-1.0007092,1.3191928
-0.9800934,0.7209516,-1.1741667,-0.92370987,0.1640727,-1.4025239,-0.2724745,1.5490228,0.9358603,-0.6564583,-1.0007092,-0.52657616
-0.9800934,0.9866315,-0.8925464,0.52052474,-0.14285597,0.916556,1.1510905,-1.4484004,-0.010316984,-0.6564583,-1.0007092,1.7140795
0.42040575,-0.16993995,-1.4557871,-0.63782877,-0.75671333,1.465839,0.24717304,-1.4538698,0.12933642,-0.036722597,-1.0007092,0.24951713
-1.4469265,-2.716427,-0.6109261,-0.15413159,0.93139446,0.5090799,0.47189432,-0.87160146,1.1624304,-0.6564583,-1.0007092,0.7751712
-0.9800934,1.1340221,-2.300648,-0.15467349,0.93139446,1.6388376,-0.576202,-3.0350132,-0.26845238,5.040393,10.480498,-0.2341426
-1.4469265,-2.179823,-0.8925464,-0.92370987,0.0106083695,0.24833664,-0.2724745,-1.8828082,0.5803071,-0.6564583,-0.047246892,-0.52657616
0.42040575,0.06329658,-1.1741667,-0.92370987,0.4710014,-1.4025239,-0.2724745,-0.4486021,-0.011995527,-0.218239,-0.047246892,-0.52657616
0.42040575,-1.3439324,-0.6109261,-0.8755032,-2.2913568,1.073767,0.2946073,-1.6357856,-0.39911935,-0.218239,-1.0007092,0.07391279
-1.4469265,-2.5498536,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-2.9115365,-0.4070191,2.6809204,6.2606435,-0.048952807
1.3540719,0.46595907,-0.8925464,-0.1541159,1.0848588,0.5090909,-0.57635224,0.0150636295,0.96867245,-0.6564583,-0.047246892,-0.23399791
-1.4469265,-3.0565352,-1.4557871,0.7051173,0.31753707,0.5767775,-0.49985328,-1.6777556,0.37072945,-0.218239,-0.047246892,0.18615203
-1.4469265,-2.6374943,-2.300648,-1.5280358,0.0106083695,-1.4025239,2.8681886,-1.1727514,0.700311,-0.6564583,-0.047246892,-3.159102
-1.4469265,-2.4228575,-0.6109261,-0.6374599,1.0848588,-0.18522277,-0.4159018,-1.0703182,1.0946099,0.21998031,0.9062154,-0.38848212
-1.4469265,-3.2745595,-1.1741667,-0.63784313,1.0848588,1.4658469,-0.15928948,-2.0531535,0.12933642,0.21998031,0.9062154,-0.14179309
-1.4469265,-2.4052835,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-1.1911637,1.3588189,0.72931284,-0.047246892,-0.048952807
0.42040575,-1.2148013,-0.8925464,-0.6385396,-0.603249,1.4662275,-0.1589999,-1.5000744,-0.14935102,-0.218239,-1.0007092,-0.14207195
-0.9800934,1.005532,-0.6109261,0.7716099,-1.3705708,-0.28667295,-0.17172122,-0.21706882,-0.07229751,-0.6564583,-0.047246892,0.523018
1.3540719,-0.903783,0.5155552,1.3497043,0.1640727,0.84645814,-0.85040903,-0.54837954,1.266281,-0.6564583,-0.047246892,0.029868253
-0.9800934,0.84679866,0.79717547,0.51878035,-0.75671333,-0.73444295,-0.46755195,-1.5122318,-0.41406497,0.32342988,1.1312973,0.15504909
1.3540719,0.6287593,-0.32930577,-0.22164023,-0.29632032,-0.57709366,-0.55769575,-0.34937936,-0.025646508,-0.6564583,-0.047246892,-0.2519607
0.42040575,0.48769957,-0.8925464,0.2504032,0.31753707,-0.96942955,1.1819295,-1.6052564,-0.007877053,-0.6564583,-1.0007092,1.6428636
3.221404,-0.7255045,-2.300648,0.8861089,1.6987162,0.24833664,-0.1897437,-2.4919863,-0.18793,1.9728577,1.1312973,0.54037255
-0.9800934,0.649571,-0.8925464,-0.8756924,-0.44978467,-0.57709366,-0.300751,-0.6565574,-0.40031412,0.32342988,2.0144033,-0.4993511
