POINT_X,POINT_Y,LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Class
287856.1103,2489838.521,5,0.539101362,5,2.007024765,-1,90,4.449491394,0.000252665,,782.0322876,391.0161438,-2.25245702,0
291303.5612,2491965.149,1,-0.226353377,10,1.366629362,-11,227.2702026,4.428418008,0.000190116,,1105.960693,552.9803467,-3.042333166,1
286628.9154,2494488.639,1,-0.264390856,4,0.927409947,0,180,6.425466742,0.000222456,,3540.801758,874.3386841,-1.820852342,0
286982.0275,2491787.46,1,-0.287138104,8,1.854334116,0,180,3.43004324,0.000372239,,782.0322876,552.9803467,-3.43004324,0
288609.3416,2490795.895,1,-0.21994406,3,2.780288458,5,0,5.8578944,0.000300646,,391.0161438,0,-0.191661495,0
289091.6379,2493195.734,1,-0.23862581,11,2.108375072,-9,151.5723267,5.093345789,0.000332674,,2346.096924,391.0161438,-1.510053173,0
295305.3696,2497743.335,1,-0.203991622,6,2.211570263,-8,114.7823792,3.25376846,,3296.084961,,,-3.25376846,0
287069.6292,2490377.136,5,0.559832811,4,1.003854632,4,270,4.043706875,0.000314762,,391.0161438,1105.960693,-4.043706875,0
286468.9884,2492203.698,1,-0.284244388,3,3.427351475,2,324.181488,2.815078458,0.000361662,,1236.501587,0,-2.815078458,0
287398.2958,2495066.767,1,-0.253576666,4,1.004161477,-8,270,6.608350725,0.000222456,,3910.161377,391.0161438,-1.478978487,0
289651.7269,2493114.448,1,-0.24146843,13,2.007456064,-6,270,4.0438113,0.000310837,,2105.686279,874.3386841,-2.657659557,0
285159.804,2494421.609,1,-0.29049927,4,1.366743565,2,312.7253723,3.735187269,0.00017977,,4025.757568,391.0161438,-3.735187269,0
289183.0262,2494170.142,1,-0.232068166,3,7.589861393,4,148.2551727,4.72351546,0.000222504,,3128.12915,391.0161438,0.6925149,0
288658.2366,2493386.636,1,-0.244917646,6,2.108380795,-5,331.572052,4.400195892,0.000360738,,2378.458252,552.9803467,-2.203152369,1
286640.3098,2491447.315,5,0.451308161,10,3.148469925,5,107.1148529,3.593268515,0.000343822,,552.9803467,782.0322876,-2.20706504,1
284999.5876,2493776.334,1,-0.231432036,2,1.366713881,11,132.7265167,3.735208987,0.000191533,,3363.647949,391.0161438,-3.735208987,0
